mode,runs,mean_task_completed,mean_strict_full_execution,mean_final_output_usable,mean_final_response_is_error,mean_duration_seconds,mean_business_send_message_calls,mean_model_send_message_tool_calls,mean_blocked_send_message_calls,mean_used_agent_count,mean_required_group_coverage_ratio,mean_exclusive_branch_violations,mean_exact_protocol_sequence,mean_repeated_agent_task,mean_redundant_business_calls,mean_failed_remote_tasks,mean_tool_call_leak_in_final,mean_validation_log_markers,mean_output_completeness_score_0_6,mean_process_score_0_10
validation_on,100,0.9,0.79,0.87,0.1,606.0496,7.29,9.37,2.08,7.29,0.9113,0.0,0.8,0.0,0.0,0.04,0.02,3.48,4.95,8.8739
validation_off,100,0.51,0.0,0.5,0.05,313.9068,7.52,7.39,0.0,5.2,0.6438,0.05,0.0,0.63,2.32,0.14,0.01,0.05,2.65,4.9108
